system:index,B11_t03,B12_t03,B2_t03,B3_t03,B4_t03,B5_t03,B6_t03,B7_t03,B8A_t03,B8_t03,class,class_name,zone,.geo
418_0,1151.0,877.0,966.0,951.0,877.0,956.0,1151.0,1256.0,1294.0,1382.0,1,Corn,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.66184580334567,34.12367387714938]}"
1877_0,670.0,631.0,1174.0,1104.0,960.0,983.0,719.0,740.0,684.0,732.0,3,Rice,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.74341283114373,34.32202189188297]}"
2073_0,1381.0,1366.0,1810.0,1802.0,1688.0,1710.0,1429.0,1400.0,1290.0,1472.0,3,Rice,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.74502979865514,34.323638859394386]}"
4349_0,1914.0,1540.0,1257.0,1243.0,1241.0,1487.0,1697.5,1769.5,1878.0,1889.0,5,Soybeans,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.97356120693514,34.2839333238363]}"
4488_0,2665.0,2483.0,2124.0,2010.0,2062.0,2300.0,2313.0,2337.0,2448.0,2308.0,5,Soybeans,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.61746902831017,34.11343308291042]}"
4760_0,2341.0,2214.0,1962.0,1910.0,1982.0,2048.0,2053.0,2064.0,2182.0,2248.0,99,Others,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.84366481685146,34.11936196378561]}"
4773_0,1338.0,901.0,1118.0,1072.0,1102.0,1224.0,1349.0,1439.0,1540.0,1506.0,99,Others,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.84689875187429,34.12852477968362]}"
4831_0,1341.0,973.0,962.0,892.0,935.0,1016.0,1100.0,1173.0,1252.0,1222.0,99,Others,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.84132919711276,34.1200806160129]}"
