system:index,B11_t27,B12_t27,B2_t27,B3_t27,B4_t27,B5_t27,B6_t27,B7_t27,B8A_t27,B8_t27,class,class_name,zone,.geo
3631_0,2468.0,1448.5,476.0,860.5,740.0,1545.0,2277.5,2534.5,2938.0,2689.0,5,Soybeans,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.7398149957254,35.65889469770964]}"
3632_0,3697.0,3084.0,890.0,1050.0,1286.0,1532.0,1641.0,1736.0,1986.0,1860.0,5,Soybeans,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.31976276887112,35.571039462922755]}"
3634_0,2251.0,1223.5,479.0,880.0,625.0,1588.0,2616.5,2983.5,3383.5,3054.0,5,Soybeans,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.79712751085222,35.50294716438649]}"
3635_0,2352.0,1567.0,593.0,918.0,996.0,1635.0,2010.0,2248.5,2585.5,2299.0,5,Soybeans,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.75867961669191,35.64308434870914]}"
3636_0,2755.5,2214.5,646.0,730.0,861.5,1041.0,1146.0,1197.5,1393.5,1249.0,5,Soybeans,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.28131487471079,35.673806731426026]}"
3637_0,3513.0,2643.0,890.0,1090.0,1400.0,1696.0,1842.0,1986.0,2253.0,2048.0,5,Soybeans,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.48092053084216,35.79382165338439]}"
3638_0,2826.0,1961.5,588.0,833.5,1013.5,1428.5,1671.5,1864.5,2190.5,2001.0,5,Soybeans,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.79173761914751,35.53277123181926]}"
3639_0,2758.0,1899.0,598.0,794.0,932.0,1416.0,2189.0,2372.0,2643.0,2608.0,5,Soybeans,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.59195229995932,35.50240817521602]}"
3640_0,2522.0,1935.5,508.0,680.0,866.0,1130.0,1320.0,1484.5,1710.0,1611.0,5,Soybeans,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.78526974910184,35.64020973979996]}"
3641_0,3169.0,2317.0,1086.0,1378.0,1652.0,1920.0,2081.0,2156.0,2305.0,2030.0,5,Soybeans,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.63974267307448,35.493245359318]}"
