pixel_id,class_name,zone,time_step,DOY,year,temperature_2m_C,dewpoint_temperature_2m_C,total_precipitation,temp_norm,prec_norm,dew_norm,.geo
AR_Z2_00001,Corn,2,15,150,2021,22.861946551005076,17.36618862152102,0.0017978206598395553,0.769355052991983,0.027227005807693758,0.8117755344904872,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.75041969035985,34.15015621172522]}"
AR_Z2_00003,Corn,2,15,150,2021,23.019905535380076,17.19882208506266,0.0019362899951522,0.7652055952558289,0.026979357334504777,0.8012991494697653,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.55041877550349,34.250156669153405]}"
AR_Z2_00005,Corn,2,15,150,2021,22.779492123921727,17.369704246520996,0.001985553932550991,0.7613901935852245,0.029172642773738496,0.8075291317729046,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.85042014778804,34.250156669153405]}"
AR_Z2_00002,Corn,2,15,150,2021,22.861946551005076,17.36618862152102,0.0017978206598395553,0.769355052991983,0.027227005807693758,0.8117755344904872,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.75041969035985,34.15015621172522]}"
AR_Z2_00000,Corn,2,15,150,2021,22.96237786610925,17.15927130381266,0.0018241484039658751,0.7725849493483977,0.026262471253608255,0.7983025005687842,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.4504183180753,34.250156669153405]}"
AR_Z2_00007,Corn,2,15,150,2021,22.861946551005076,17.36618862152102,0.0017978206598395553,0.769355052991983,0.027227005807693758,0.8117755344904872,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.75041969035985,34.15015621172522]}"
AR_Z2_00004,Corn,2,15,150,2021,22.72438958485924,17.254966290791856,0.0021895182407656753,0.7656773109410971,0.03147283827312261,0.8040648849507278,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.85042014778804,34.35015712658159]}"
AR_Z2_00006,Corn,2,15,150,2021,22.99374993642175,17.26030483245853,0.0017436923703063971,0.762603194473577,0.02465088509083503,0.796256784027976,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.65041923293167,34.15015621172522]}"
AR_Z2_00009,Corn,2,15,150,2021,22.771793556213424,17.425693829854367,0.001619391936052287,0.7662535784389465,0.025452372652457565,0.8089301958655106,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.75041969035985,34.05015575429704]}"
AR_Z2_00010,Corn,2,15,150,2021,22.789298439025913,17.42883510589604,0.0018052365331485316,0.7637786816655314,0.027335262267184142,0.8112110012421154,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.85042014778804,34.15015621172522]}"
AR_Z2_00012,Corn,2,15,150,2021,22.771793556213424,17.425693829854367,0.001619391936052287,0.7662535784389465,0.025452372652457565,0.8089301958655106,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.75041969035985,34.05015575429704]}"
AR_Z2_00013,Corn,2,15,150,2021,22.72438958485924,17.254966290791856,0.0021895182407656753,0.7656773109410971,0.03147283827312261,0.8040648849507278,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.85042014778804,34.35015712658159]}"
AR_Z2_00014,Corn,2,15,150,2021,22.72438958485924,17.254966290791856,0.0021895182407656753,0.7656773109410971,0.03147283827312261,0.8040648849507278,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.85042014778804,34.35015712658159]}"
AR_Z2_00015,Corn,2,15,150,2021,22.84660638173426,17.39201869964603,0.0015654869543894575,0.7687936499729981,0.02311275266287896,0.8058171457190155,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.65041923293167,34.05015575429704]}"
AR_Z2_00016,Corn,2,15,150,2021,22.779492123921727,17.369704246520996,0.001985553932550991,0.7613901935852245,0.029172642773738496,0.8075291317729046,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.85042014778804,34.250156669153405]}"
AR_Z2_00018,Corn,2,15,150,2021,22.90249017079674,17.09448451995854,0.00216381587974821,0.7719393559343777,0.03286762072468512,0.8055347738656825,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.55041877550349,34.35015712658159]}"
AR_Z2_00020,Corn,2,15,150,2021,22.80974114735926,17.44895229339602,0.0016717618730425284,0.7537557140459339,0.026149938453284456,0.8040991330925089,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.85042014778804,34.05015575429704]}"
AR_Z2_00022,Corn,2,15,150,2021,22.7474771499634,17.20238653818768,0.002218767016059105,0.7684316690758475,0.032381953977328085,0.8070003211402754,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.75041969035985,34.35015712658159]}"
AR_Z2_00023,Corn,2,15,150,2021,22.72438958485924,17.254966290791856,0.0021895182407656753,0.7656773109410971,0.03147283827312261,0.8040648849507278,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.85042014778804,34.35015712658159]}"
AR_Z2_00030,Corn,2,15,150,2021,22.93336582183838,17.38566290537517,0.0015092951489497667,0.7688919525167733,0.020840272311723473,0.8007304679090134,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.55041877550349,34.05015575429704]}"
AR_Z2_00033,Corn,2,15,150,2021,22.93336582183838,17.38566290537517,0.0015092951489497667,0.7688919525167733,0.020840272311723473,0.8007304679090134,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.55041877550349,34.05015575429704]}"
AR_Z2_00039,Corn,2,15,150,2021,23.019905535380076,17.19882208506266,0.0019362899951522,0.7652055952558289,0.026979357334504777,0.8012991494697653,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.55041877550349,34.250156669153405]}"
AR_Z2_00042,Corn,2,15,150,2021,23.019905535380076,17.19882208506266,0.0019362899951522,0.7652055952558289,0.026979357334504777,0.8012991494697653,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.55041877550349,34.250156669153405]}"
AR_Z2_00044,Corn,2,15,150,2021,22.789298439025913,17.42883510589604,0.0018052365331485316,0.7637786816655314,0.027335262267184142,0.8112110012421154,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.85042014778804,34.15015621172522]}"
AR_Z2_00049,Corn,2,15,150,2021,22.72438958485924,17.254966290791856,0.0021895182407656753,0.7656773109410971,0.03147283827312261,0.8040648849507278,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.85042014778804,34.35015712658159]}"
AR_Z2_00050,Corn,2,15,150,2021,22.779492123921727,17.369704246520996,0.001985553932550991,0.7613901935852245,0.029172642773738496,0.8075291317729046,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.85042014778804,34.250156669153405]}"
AR_Z2_00051,Corn,2,15,150,2021,22.99374993642175,17.26030483245853,0.0017436923703063971,0.762603194473577,0.02465088509083503,0.796256784027976,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.65041923293167,34.15015621172522]}"
AR_Z2_00053,Corn,2,15,150,2021,22.99374993642175,17.26030483245853,0.0017436923703063971,0.762603194473577,0.02465088509083503,0.796256784027976,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.65041923293167,34.15015621172522]}"
AR_Z2_00054,Corn,2,15,150,2021,22.861946551005076,17.36618862152102,0.0017978206598395553,0.769355052991983,0.027227005807693758,0.8117755344904872,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.75041969035985,34.15015621172522]}"
AR_Z2_00056,Corn,2,15,150,2021,23.013435808817576,17.167417462666833,0.0022452567327031934,0.7647953782229938,0.03318532819770538,0.8039485949762166,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.65041923293167,34.35015712658159]}"
AR_Z2_00057,Corn,2,15,150,2021,22.70846347808839,17.312933413187693,0.0021870976402619926,0.7563197341587046,0.03148858833429158,0.7992282487265897,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.95042060521622,34.35015712658159]}"
AR_Z2_00058,Corn,2,15,150,2021,22.774495379130087,17.441001447041856,0.0014830214215327746,0.7626287782870039,0.023590687328631735,0.801573234748171,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.65041923293167,33.95015529686885]}"
