pixel_id,class_name,zone,lon,lat,soil_ph,soil_clay,soil_organic,.geo
00000000000000000024,Corn,1,-90.4724759955827,35.57732569670958,6.1,25,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.4604240553867,35.55966598840661]}"
00000000000000000025,Corn,1,-90.46870359609149,35.83730020632759,6.0,18,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.4604240553867,35.82916057364246]}"
00000000000000000026,Corn,1,-90.47768868471417,35.73219919449787,6.0,15,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.4604240553867,35.739329045230505]}"
00000000000000000027,Corn,1,-90.48181781228966,35.72285291868985,6.0,15,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.4604240553867,35.739329045230505]}"
00000000000000000028,Corn,1,-90.50463503238015,35.716565586204496,6.0,15,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.50533981959268,35.69441328102453]}"
00000000000000000029,Corn,1,-90.63201817217393,35.60212275766781,5.7,14,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.64008711221061,35.60458175261258]}"
0000000000000000002a,Corn,1,-90.71484151514063,35.59062273605097,5.8,16,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.72991864062256,35.60458175261258]}"
0000000000000000002b,Corn,1,-90.59123523393912,35.59708843257846,6.2,18,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.59517134800463,35.60458175261258]}"
0000000000000000002c,Corn,1,-90.64045925046811,35.771903030277755,5.9,17,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.64008711221061,35.78424480943649]}"
0000000000000000002d,Corn,1,-90.3086218682728,35.81448298623712,6.0,15,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.32567676276877,35.82916057364246]}"
0000000000000000002e,Corn,1,-90.23298659620424,35.54265172691799,6.1,41,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.23584523435682,35.55966598840661]}"
0000000000000000002f,Corn,1,-90.4893626112721,35.673807266203,6.0,15,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.50533981959268,35.69441328102453]}"
00000000000000000030,Corn,1,-90.63183534903074,35.58145928338613,5.8,19,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.64008711221061,35.55966598840661]}"
00000000000000000031,Corn,1,-90.32623085833283,35.723575293060506,6.1,13,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.32567676276877,35.739329045230505]}"
00000000000000000032,Corn,1,-90.50553577079295,35.75968509339131,6.2,14,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.50533981959268,35.739329045230505]}"
00000000000000000033,Corn,1,-90.60003749941862,35.642544508717286,6.2,20,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.59517134800463,35.649497516818556]}"
00000000000000000034,Corn,1,-90.27969567973906,35.79435906318291,6.2,17,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.2807609985628,35.78424480943649]}"
00000000000000000035,Corn,1,-90.61315171561681,35.62332132407589,6.2,18,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.59517134800463,35.60458175261258]}"
00000000000000000036,Corn,1,-90.65052344154574,35.49162623356342,6.0,17,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.64008711221061,35.46983445999465]}"
00000000000000000037,Corn,1,-90.51595668995485,35.78717545138581,6.1,15,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.50533981959268,35.78424480943649]}"
00000000000000000038,Corn,1,-90.74879756966263,35.55486966380444,5.6,14,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.72991864062256,35.55966598840661]}"
00000000000000000039,Corn,1,-90.49313946986436,35.68620356713158,6.0,15,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.50533981959268,35.69441328102453]}"
0000000000000000003a,Corn,1,-90.39737581564056,35.62080639108174,6.1,30,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.41550829118073,35.60458175261258]}"
0000000000000000003b,Corn,1,-90.65573167157616,35.694466281383605,5.9,18,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.64008711221061,35.69441328102453]}"
0000000000000000003c,Corn,1,-90.47930287929552,35.58954363359603,5.8,27,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.4604240553867,35.60458175261258]}"
0000000000000000003d,Corn,1,-90.59033449552632,35.6768617504246,6.1,19,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.59517134800463,35.69441328102453]}"
0000000000000000003e,Corn,1,-90.50391711711056,35.59708843257846,6.2,14,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.50533981959268,35.60458175261258]}"
0000000000000000003f,Corn,1,-90.31580993917093,35.72860515904879,6.1,13,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.32567676276877,35.739329045230505]}"
00000000000000000040,Corn,1,-90.65555330753402,35.71998125761142,6.0,18,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.64008711221061,35.739329045230505]}"
00000000000000000041,Corn,1,-90.4875700526486,35.82202778521954,6.1,18,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.50533981959268,35.82916057364246]}"
00000000000000000042,Corn,1,-90.55134857501605,35.67362890216086,6.2,15,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.55025558379864,35.69441328102453]}"
00000000000000000043,Corn,1,-90.4902633496849,35.67506473270007,6.0,15,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.50533981959268,35.69441328102453]}"
00000000000000000044,Corn,1,-90.3032352742002,35.573736120361566,6.2,38,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.32567676276877,35.55966598840661]}"
00000000000000000045,Corn,1,-90.55781427154355,35.62835119006417,6.1,17,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.55025558379864,35.649497516818556]}"
00000000000000000046,Corn,1,-90.5650023424417,35.71584767093489,6.2,15,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.55025558379864,35.69441328102453]}"
00000000000000000047,Corn,1,-90.49385738513396,35.77387841204443,6.1,15,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.50533981959268,35.78424480943649]}"
